Ano,Mes,Num_Mes,Fecha,Num_Semestre,Mes_Semestre,Num_Trimestre,Mes_Trimestre,Num_Bimestre,Mes_Bimestre,Semana_Ano,Semana_Mes,Dia_Semana,Dia_Festivos,Tipo_Dia,Num_Dia,Num_Dia_Mes,Num_Dia_Habil,Num_Habil,Tipo_Recargo_Dia
2022,Enero,1,2022-01-01,1,1,1,1,1,1,Semana 1,Semana 1,Sábado,Festivo,Fest.,1,Fest. 1,Fest. 1,0,Dominical/Festivo
2022,Enero,1,2022-01-02,1,1,1,1,1,1,Semana 1,Semana 1,Domingo,Domingo,Dom.,2,Dom. 1,Dom. 1,0,Dominical/Festivo
2022,Enero,1,2022-01-03,1,1,1,1,1,1,Semana 2,Semana 2,Lunes,Lunes,Hab.,3,Lun. 1,Hab. 1,1,Ordinario
2022,Enero,1,2022-01-04,1,1,1,1,1,1,Semana 2,Semana 2,Martes,Martes,Hab.,4,Mar. 1,Hab. 2,2,Ordinario
2022,Enero,1,2022-01-05,1,1,1,1,1,1,Semana 2,Semana 2,Miércoles,Miércoles,Hab.,5,Mié. 1,Hab. 3,3,Ordinario
2022,Enero,1,2022-01-06,1,1,1,1,1,1,Semana 2,Semana 2,Jueves,Jueves,Hab.,6,Jue. 1,Hab. 4,4,Ordinario
2022,Enero,1,2022-01-07,1,1,1,1,1,1,Semana 2,Semana 2,Viernes,Viernes,Hab.,7,Vie. 1,Hab. 5,5,Ordinario
2022,Enero,1,2022-01-08,1,1,1,1,1,1,Semana 2,Semana 2,Sábado,Sábado,Sáb.,8,Sáb. 1,Sáb. 1,5,Ordinario
2022,Enero,1,2022-01-09,1,1,1,1,1,1,Semana 2,Semana 2,Domingo,Domingo,Dom.,9,Dom. 2,Dom. 2,5,Dominical/Festivo
2022,Enero,1,2022-01-10,1,1,1,1,1,1,Semana 3,Semana 3,Lunes,Festivo,Fest.,10,Fest. 2,Fest. 2,5,Dominical/Festivo
2022,Enero,1,2022-01-11,1,1,1,1,1,1,Semana 3,Semana 3,Martes,Martes,Hab.,11,Mar. 2,Hab. 6,6,Ordinario
2022,Enero,1,2022-01-12,1,1,1,1,1,1,Semana 3,Semana 3,Miércoles,Miércoles,Hab.,12,Mié. 2,Hab. 7,7,Ordinario
2022,Enero,1,2022-01-13,1,1,1,1,1,1,Semana 3,Semana 3,Jueves,Jueves,Hab.,13,Jue. 2,Hab. 8,8,Ordinario
2022,Enero,1,2022-01-14,1,1,1,1,1,1,Semana 3,Semana 3,Viernes,Viernes,Hab.,14,Vie. 2,Hab. 9,9,Ordinario
2022,Enero,1,2022-01-15,1,1,1,1,1,1,Semana 3,Semana 3,Sábado,Sábado,Sáb.,15,Sáb. 2,Sáb. 2,9,Ordinario
2022,Enero,1,2022-01-16,1,1,1,1,1,1,Semana 3,Semana 3,Domingo,Domingo,Dom.,16,Dom. 3,Dom. 3,9,Dominical/Festivo
2022,Enero,1,2022-01-17,1,1,1,1,1,1,Semana 4,Semana 4,Lunes,Lunes,Hab.,17,Lun. 2,Hab. 10,10,Ordinario
2022,Enero,1,2022-01-18,1,1,1,1,1,1,Semana 4,Semana 4,Martes,Martes,Hab.,18,Mar. 3,Hab. 11,11,Ordinario
2022,Enero,1,2022-01-19,1,1,1,1,1,1,Semana 4,Semana 4,Miércoles,Miércoles,Hab.,19,Mié. 3,Hab. 12,12,Ordinario
2022,Enero,1,2022-01-20,1,1,1,1,1,1,Semana 4,Semana 4,Jueves,Jueves,Hab.,20,Jue. 3,Hab. 13,13,Ordinario
2022,Enero,1,2022-01-21,1,1,1,1,1,1,Semana 4,Semana 4,Viernes,Viernes,Hab.,21,Vie. 3,Hab. 14,14,Ordinario
2022,Enero,1,2022-01-22,1,1,1,1,1,1,Semana 4,Semana 4,Sábado,Sábado,Sáb.,22,Sáb. 3,Sáb. 3,14,Ordinario
2022,Enero,1,2022-01-23,1,1,1,1,1,1,Semana 4,Semana 4,Domingo,Domingo,Dom.,23,Dom. 4,Dom. 4,14,Dominical/Festivo
2022,Enero,1,2022-01-24,1,1,1,1,1,1,Semana 5,Semana 5,Lunes,Lunes,Hab.,24,Lun. 3,Hab. 15,15,Ordinario
2022,Enero,1,2022-01-25,1,1,1,1,1,1,Semana 5,Semana 5,Martes,Martes,Hab.,25,Mar. 4,Hab. 16,16,Ordinario
2022,Enero,1,2022-01-26,1,1,1,1,1,1,Semana 5,Semana 5,Miércoles,Miércoles,Hab.,26,Mié. 4,Hab. 17,17,Ordinario
2022,Enero,1,2022-01-27,1,1,1,1,1,1,Semana 5,Semana 5,Jueves,Jueves,Hab.,27,Jue. 4,Hab. 18,18,Ordinario
2022,Enero,1,2022-01-28,1,1,1,1,1,1,Semana 5,Semana 5,Viernes,Viernes,Hab.,28,Vie. 4,Hab. 19,19,Ordinario
2022,Enero,1,2022-01-29,1,1,1,1,1,1,Semana 5,Semana 5,Sábado,Sábado,Sáb.,29,Sáb. 4,Sáb. 4,19,Ordinario
2022,Enero,1,2022-01-30,1,1,1,1,1,1,Semana 5,Semana 5,Domingo,Domingo,Dom.,30,Dom. 5,Dom. 5,19,Dominical/Festivo
2022,Enero,1,2022-01-31,1,1,1,1,1,1,Semana 6,Semana 6,Lunes,Lunes,Hab.,31,Lun. 4,Hab. 20,20,Ordinario
2022,Febrero,2,2022-02-01,1,2,1,2,1,2,Semana 6,Semana 1,Martes,Martes,Hab.,1,Mar. 1,Hab. 1,1,Ordinario
2022,Febrero,2,2022-02-02,1,2,1,2,1,2,Semana 6,Semana 1,Miércoles,Miércoles,Hab.,2,Mié. 1,Hab. 2,2,Ordinario
2022,Febrero,2,2022-02-03,1,2,1,2,1,2,Semana 6,Semana 1,Jueves,Jueves,Hab.,3,Jue. 1,Hab. 3,3,Ordinario
2022,Febrero,2,2022-02-04,1,2,1,2,1,2,Semana 6,Semana 1,Viernes,Viernes,Hab.,4,Vie. 1,Hab. 4,4,Ordinario
2022,Febrero,2,2022-02-05,1,2,1,2,1,2,Semana 6,Semana 1,Sábado,Sábado,Sáb.,5,Sáb. 1,Sáb. 1,4,Ordinario
2022,Febrero,2,2022-02-06,1,2,1,2,1,2,Semana 6,Semana 1,Domingo,Domingo,Dom.,6,Dom. 1,Dom. 1,4,Dominical/Festivo
2022,Febrero,2,2022-02-07,1,2,1,2,1,2,Semana 7,Semana 2,Lunes,Lunes,Hab.,7,Lun. 1,Hab. 5,5,Ordinario
2022,Febrero,2,2022-02-08,1,2,1,2,1,2,Semana 7,Semana 2,Martes,Martes,Hab.,8,Mar. 2,Hab. 6,6,Ordinario
2022,Febrero,2,2022-02-09,1,2,1,2,1,2,Semana 7,Semana 2,Miércoles,Miércoles,Hab.,9,Mié. 2,Hab. 7,7,Ordinario
2022,Febrero,2,2022-02-10,1,2,1,2,1,2,Semana 7,Semana 2,Jueves,Jueves,Hab.,10,Jue. 2,Hab. 8,8,Ordinario
2022,Febrero,2,2022-02-11,1,2,1,2,1,2,Semana 7,Semana 2,Viernes,Viernes,Hab.,11,Vie. 2,Hab. 9,9,Ordinario
2022,Febrero,2,2022-02-12,1,2,1,2,1,2,Semana 7,Semana 2,Sábado,Sábado,Sáb.,12,Sáb. 2,Sáb. 2,9,Ordinario
2022,Febrero,2,2022-02-13,1,2,1,2,1,2,Semana 7,Semana 2,Domingo,Domingo,Dom.,13,Dom. 2,Dom. 2,9,Dominical/Festivo
2022,Febrero,2,2022-02-14,1,2,1,2,1,2,Semana 8,Semana 3,Lunes,Lunes,Hab.,14,Lun. 2,Hab. 10,10,Ordinario
2022,Febrero,2,2022-02-15,1,2,1,2,1,2,Semana 8,Semana 3,Martes,Martes,Hab.,15,Mar. 3,Hab. 11,11,Ordinario
2022,Febrero,2,2022-02-16,1,2,1,2,1,2,Semana 8,Semana 3,Miércoles,Miércoles,Hab.,16,Mié. 3,Hab. 12,12,Ordinario
2022,Febrero,2,2022-02-17,1,2,1,2,1,2,Semana 8,Semana 3,Jueves,Jueves,Hab.,17,Jue. 3,Hab. 13,13,Ordinario
2022,Febrero,2,2022-02-18,1,2,1,2,1,2,Semana 8,Semana 3,Viernes,Viernes,Hab.,18,Vie. 3,Hab. 14,14,Ordinario
2022,Febrero,2,2022-02-19,1,2,1,2,1,2,Semana 8,Semana 3,Sábado,Sábado,Sáb.,19,Sáb. 3,Sáb. 3,14,Ordinario
2022,Febrero,2,2022-02-20,1,2,1,2,1,2,Semana 8,Semana 3,Domingo,Domingo,Dom.,20,Dom. 3,Dom. 3,14,Dominical/Festivo
2022,Febrero,2,2022-02-21,1,2,1,2,1,2,Semana 9,Semana 4,Lunes,Lunes,Hab.,21,Lun. 3,Hab. 15,15,Ordinario
2022,Febrero,2,2022-02-22,1,2,1,2,1,2,Semana 9,Semana 4,Martes,Martes,Hab.,22,Mar. 4,Hab. 16,16,Ordinario
2022,Febrero,2,2022-02-23,1,2,1,2,1,2,Semana 9,Semana 4,Miércoles,Miércoles,Hab.,23,Mié. 4,Hab. 17,17,Ordinario
2022,Febrero,2,2022-02-24,1,2,1,2,1,2,Semana 9,Semana 4,Jueves,Jueves,Hab.,24,Jue. 4,Hab. 18,18,Ordinario
2022,Febrero,2,2022-02-25,1,2,1,2,1,2,Semana 9,Semana 4,Viernes,Viernes,Hab.,25,Vie. 4,Hab. 19,19,Ordinario
2022,Febrero,2,2022-02-26,1,2,1,2,1,2,Semana 9,Semana 4,Sábado,Sábado,Sáb.,26,Sáb. 4,Sáb. 4,19,Ordinario
2022,Febrero,2,2022-02-27,1,2,1,2,1,2,Semana 9,Semana 4,Domingo,Domingo,Dom.,27,Dom. 4,Dom. 4,19,Dominical/Festivo
2022,Febrero,2,2022-02-28,1,2,1,2,1,2,Semana 10,Semana 5,Lunes,Lunes,Hab.,28,Lun. 4,Hab. 20,20,Ordinario
2022,Marzo,3,2022-03-01,1,3,1,3,2,1,Semana 10,Semana 1,Martes,Martes,Hab.,1,Mar. 1,Hab. 1,1,Ordinario
2022,Marzo,3,2022-03-02,1,3,1,3,2,1,Semana 10,Semana 1,Miércoles,Miércoles,Hab.,2,Mié. 1,Hab. 2,2,Ordinario
2022,Marzo,3,2022-03-03,1,3,1,3,2,1,Semana 10,Semana 1,Jueves,Jueves,Hab.,3,Jue. 1,Hab. 3,3,Ordinario
2022,Marzo,3,2022-03-04,1,3,1,3,2,1,Semana 10,Semana 1,Viernes,Viernes,Hab.,4,Vie. 1,Hab. 4,4,Ordinario
2022,Marzo,3,2022-03-05,1,3,1,3,2,1,Semana 10,Semana 1,Sábado,Sábado,Sáb.,5,Sáb. 1,Sáb. 1,4,Ordinario
2022,Marzo,3,2022-03-06,1,3,1,3,2,1,Semana 10,Semana 1,Domingo,Domingo,Dom.,6,Dom. 1,Dom. 1,4,Dominical/Festivo
2022,Marzo,3,2022-03-07,1,3,1,3,2,1,Semana 11,Semana 2,Lunes,Lunes,Hab.,7,Lun. 1,Hab. 5,5,Ordinario
2022,Marzo,3,2022-03-08,1,3,1,3,2,1,Semana 11,Semana 2,Martes,Martes,Hab.,8,Mar. 2,Hab. 6,6,Ordinario
2022,Marzo,3,2022-03-09,1,3,1,3,2,1,Semana 11,Semana 2,Miércoles,Miércoles,Hab.,9,Mié. 2,Hab. 7,7,Ordinario
2022,Marzo,3,2022-03-10,1,3,1,3,2,1,Semana 11,Semana 2,Jueves,Jueves,Hab.,10,Jue. 2,Hab. 8,8,Ordinario
2022,Marzo,3,2022-03-11,1,3,1,3,2,1,Semana 11,Semana 2,Viernes,Viernes,Hab.,11,Vie. 2,Hab. 9,9,Ordinario
2022,Marzo,3,2022-03-12,1,3,1,3,2,1,Semana 11,Semana 2,Sábado,Sábado,Sáb.,12,Sáb. 2,Sáb. 2,9,Ordinario
2022,Marzo,3,2022-03-13,1,3,1,3,2,1,Semana 11,Semana 2,Domingo,Domingo,Dom.,13,Dom. 2,Dom. 2,9,Dominical/Festivo
2022,Marzo,3,2022-03-14,1,3,1,3,2,1,Semana 12,Semana 3,Lunes,Lunes,Hab.,14,Lun. 2,Hab. 10,10,Ordinario
2022,Marzo,3,2022-03-15,1,3,1,3,2,1,Semana 12,Semana 3,Martes,Martes,Hab.,15,Mar. 3,Hab. 11,11,Ordinario
2022,Marzo,3,2022-03-16,1,3,1,3,2,1,Semana 12,Semana 3,Miércoles,Miércoles,Hab.,16,Mié. 3,Hab. 12,12,Ordinario
2022,Marzo,3,2022-03-17,1,3,1,3,2,1,Semana 12,Semana 3,Jueves,Jueves,Hab.,17,Jue. 3,Hab. 13,13,Ordinario
2022,Marzo,3,2022-03-18,1,3,1,3,2,1,Semana 12,Semana 3,Viernes,Viernes,Hab.,18,Vie. 3,Hab. 14,14,Ordinario
2022,Marzo,3,2022-03-19,1,3,1,3,2,1,Semana 12,Semana 3,Sábado,Sábado,Sáb.,19,Sáb. 3,Sáb. 3,14,Ordinario
2022,Marzo,3,2022-03-20,1,3,1,3,2,1,Semana 12,Semana 3,Domingo,Domingo,Dom.,20,Dom. 3,Dom. 3,14,Dominical/Festivo
2022,Marzo,3,2022-03-21,1,3,1,3,2,1,Semana 13,Semana 4,Lunes,Festivo,Fest.,21,Fest. 1,Fest. 1,14,Dominical/Festivo
2022,Marzo,3,2022-03-22,1,3,1,3,2,1,Semana 13,Semana 4,Martes,Martes,Hab.,22,Mar. 4,Hab. 15,15,Ordinario
2022,Marzo,3,2022-03-23,1,3,1,3,2,1,Semana 13,Semana 4,Miércoles,Miércoles,Hab.,23,Mié. 4,Hab. 16,16,Ordinario
2022,Marzo,3,2022-03-24,1,3,1,3,2,1,Semana 13,Semana 4,Jueves,Jueves,Hab.,24,Jue. 4,Hab. 17,17,Ordinario
2022,Marzo,3,2022-03-25,1,3,1,3,2,1,Semana 13,Semana 4,Viernes,Viernes,Hab.,25,Vie. 4,Hab. 18,18,Ordinario
2022,Marzo,3,2022-03-26,1,3,1,3,2,1,Semana 13,Semana 4,Sábado,Sábado,Sáb.,26,Sáb. 4,Sáb. 4,18,Ordinario
2022,Marzo,3,2022-03-27,1,3,1,3,2,1,Semana 13,Semana 4,Domingo,Domingo,Dom.,27,Dom. 4,Dom. 4,18,Dominical/Festivo
2022,Marzo,3,2022-03-28,1,3,1,3,2,1,Semana 14,Semana 5,Lunes,Lunes,Hab.,28,Lun. 3,Hab. 19,19,Ordinario
2022,Marzo,3,2022-03-29,1,3,1,3,2,1,Semana 14,Semana 5,Martes,Martes,Hab.,29,Mar. 5,Hab. 20,20,Ordinario
2022,Marzo,3,2022-03-30,1,3,1,3,2,1,Semana 14,Semana 5,Miércoles,Miércoles,Hab.,30,Mié. 5,Hab. 21,21,Ordinario
2022,Marzo,3,2022-03-31,1,3,1,3,2,1,Semana 14,Semana 5,Jueves,Jueves,Hab.,31,Jue. 5,Hab. 22,22,Ordinario
2022,Abril,4,2022-04-01,1,4,2,1,2,2,Semana 14,Semana 1,Viernes,Viernes,Hab.,1,Vie. 1,Hab. 1,1,Ordinario
2022,Abril,4,2022-04-02,1,4,2,1,2,2,Semana 14,Semana 1,Sábado,Sábado,Sáb.,2,Sáb. 1,Sáb. 1,1,Ordinario
2022,Abril,4,2022-04-03,1,4,2,1,2,2,Semana 14,Semana 1,Domingo,Domingo,Dom.,3,Dom. 1,Dom. 1,1,Dominical/Festivo
2022,Abril,4,2022-04-04,1,4,2,1,2,2,Semana 15,Semana 2,Lunes,Lunes,Hab.,4,Lun. 1,Hab. 2,2,Ordinario
2022,Abril,4,2022-04-05,1,4,2,1,2,2,Semana 15,Semana 2,Martes,Martes,Hab.,5,Mar. 1,Hab. 3,3,Ordinario
2022,Abril,4,2022-04-06,1,4,2,1,2,2,Semana 15,Semana 2,Miércoles,Miércoles,Hab.,6,Mié. 1,Hab. 4,4,Ordinario
2022,Abril,4,2022-04-07,1,4,2,1,2,2,Semana 15,Semana 2,Jueves,Jueves,Hab.,7,Jue. 1,Hab. 5,5,Ordinario
2022,Abril,4,2022-04-08,1,4,2,1,2,2,Semana 15,Semana 2,Viernes,Viernes,Hab.,8,Vie. 2,Hab. 6,6,Ordinario
2022,Abril,4,2022-04-09,1,4,2,1,2,2,Semana 15,Semana 2,Sábado,Sábado,Sáb.,9,Sáb. 2,Sáb. 2,6,Ordinario
2022,Abril,4,2022-04-10,1,4,2,1,2,2,Semana 15,Semana 2,Domingo,Domingo,Dom.,10,Dom. 2,Dom. 2,6,Dominical/Festivo
2022,Abril,4,2022-04-11,1,4,2,1,2,2,Semana 16,Semana 3,Lunes,Lunes,Hab.,11,Lun. 2,Hab. 7,7,Ordinario
2022,Abril,4,2022-04-12,1,4,2,1,2,2,Semana 16,Semana 3,Martes,Martes,Hab.,12,Mar. 2,Hab. 8,8,Ordinario
2022,Abril,4,2022-04-13,1,4,2,1,2,2,Semana 16,Semana 3,Miércoles,Miércoles,Hab.,13,Mié. 2,Hab. 9,9,Ordinario
2022,Abril,4,2022-04-14,1,4,2,1,2,2,Semana 16,Semana 3,Jueves,Festivo,Fest.,14,Fest. 1,Fest. 1,9,Dominical/Festivo
2022,Abril,4,2022-04-15,1,4,2,1,2,2,Semana 16,Semana 3,Viernes,Festivo,Fest.,15,Fest. 2,Fest. 2,9,Dominical/Festivo
2022,Abril,4,2022-04-16,1,4,2,1,2,2,Semana 16,Semana 3,Sábado,Sábado,Sáb.,16,Sáb. 3,Sáb. 3,9,Ordinario
2022,Abril,4,2022-04-17,1,4,2,1,2,2,Semana 16,Semana 3,Domingo,Domingo,Dom.,17,Dom. 3,Dom. 3,9,Dominical/Festivo
2022,Abril,4,2022-04-18,1,4,2,1,2,2,Semana 17,Semana 4,Lunes,Lunes,Hab.,18,Lun. 3,Hab. 10,10,Ordinario
2022,Abril,4,2022-04-19,1,4,2,1,2,2,Semana 17,Semana 4,Martes,Martes,Hab.,19,Mar. 3,Hab. 11,11,Ordinario
2022,Abril,4,2022-04-20,1,4,2,1,2,2,Semana 17,Semana 4,Miércoles,Miércoles,Hab.,20,Mié. 3,Hab. 12,12,Ordinario
2022,Abril,4,2022-04-21,1,4,2,1,2,2,Semana 17,Semana 4,Jueves,Jueves,Hab.,21,Jue. 2,Hab. 13,13,Ordinario
2022,Abril,4,2022-04-22,1,4,2,1,2,2,Semana 17,Semana 4,Viernes,Viernes,Hab.,22,Vie. 3,Hab. 14,14,Ordinario
2022,Abril,4,2022-04-23,1,4,2,1,2,2,Semana 17,Semana 4,Sábado,Sábado,Sáb.,23,Sáb. 4,Sáb. 4,14,Ordinario
2022,Abril,4,2022-04-24,1,4,2,1,2,2,Semana 17,Semana 4,Domingo,Domingo,Dom.,24,Dom. 4,Dom. 4,14,Dominical/Festivo
2022,Abril,4,2022-04-25,1,4,2,1,2,2,Semana 18,Semana 5,Lunes,Lunes,Hab.,25,Lun. 4,Hab. 15,15,Ordinario
2022,Abril,4,2022-04-26,1,4,2,1,2,2,Semana 18,Semana 5,Martes,Martes,Hab.,26,Mar. 4,Hab. 16,16,Ordinario
2022,Abril,4,2022-04-27,1,4,2,1,2,2,Semana 18,Semana 5,Miércoles,Miércoles,Hab.,27,Mié. 4,Hab. 17,17,Ordinario
2022,Abril,4,2022-04-28,1,4,2,1,2,2,Semana 18,Semana 5,Jueves,Jueves,Hab.,28,Jue. 3,Hab. 18,18,Ordinario
2022,Abril,4,2022-04-29,1,4,2,1,2,2,Semana 18,Semana 5,Viernes,Viernes,Hab.,29,Vie. 4,Hab. 19,19,Ordinario
